user_id,title,user_rating,genre,release date
1,(500) Days of Summer,1,Comedy,2009
1,12 Rounds,5,Action,2009
1,127 Hours,4,Adventure,2010
1,30 Days of Night,2,Horror,2007
1,50/50,4,Comedy,2011
1,88 Minutes,5,Drama,2007
1,A Serious Man,1,Drama,2009
1,A Very Harold and Kumar Christmas,3,Comedy,2011
1,Across the Universe,4,Romance,2007
1,Adventureland,2,Comedy,2009
1,Alice in Wonderland,3,Adventure,2010
1,Aliens in the Attic,4,Adventure,2009
1,American Gangster,2,Thriller,2007
1,An Education,1,Drama,2009
1,Apollo 18,4,Horror,2011
1,Armored,2,Action,2009
1,Australia,3,Adventure,2008
2,(500) Days of Summer,2,Comedy,2009
2,12 Rounds,1,Action,2008
2,127 Hours,,Comedy,2011
2,17 Again,3,Comedy,2009
2,30 Minutes or Less,4,Comedy,2008
2,88 Minutes,5,Comedy,2008
2,A Nightmare on Elm Street,1,Action,2007
2,A Very Harold and Kumar Christmas,3,Drama,2010
2,Across the Universe,2,Action,2008
2,Adventureland,5,Comedy,2009
2,Alice in Wonderland,1,Action,2009
2,Aliens in the Attic,4,Comedy,2009
2,All About Steve,3,Drama,2010
2,All Good Things,1,Drama,2010
2,American Gangster,3,Action,2011
2,An Education,2,Horror,2009
2,Apollo 18,3,Comedy,2011
2,Armored,4,Action,2009
2,Australia,2,Adventure,2008
2,Avatar,4,Action,2010
3,(500) Days of Summer,1,Action,2008
3,127 Hours,4,Action,2011
3,17 Again,3,Comedy,2009
3,27 Dresses,2,Thriller,2011
3,30 Minutes or Less,3,Drama,2010
3,88 Minutes,2,Action,2011
3,A Dangerous Method,1,Action,2009
3,A Serious Man,3,Comedy,2010
3,Abduction,4,Action,2009
3,Albert Nobbs,3,Drama,2010
3,All About Steve,1,Horror,2010
3,All Good Things,3,Comedy,2010
3,An Education,4,Comedy,2010
3,Apollo 18,,Action,2009
3,Appaloosa,5,Thriller,2007
3,Australia,1,Action,2008
4,(500) Days of Summer,3,Horror,2009
4,12 Rounds,4,Action,2009
4,17 Again,2,Comedy,2008
4,50/50,3,Romance,2009
4,A Dangerous Method,4,Action,2008
4,Alice in Wonderland,4,Comedy,2009
4,Aliens in the Attic,5,Drama,2011
4,Anonymous,5,Horror,2011
4,Armored,1,Comedy,2008
4,Arthur,,Adventure,2008
5,(500) Days of Summer,3,Comedy,2008
5,127 Hours,4,Romance,2011
5,27 Dresses,3,Action,2010
5,50/50,3,Action,2009
5,A Dangerous Method,3,Action,2009
5,A Nightmare on Elm Street,3,Comedy,2010
5,Abduction,4,Comedy,2008
5,Adventureland,5,Comedy,2010
5,Alice in Wonderland,5,Drama,2008
5,Alien vs. Predator -- Requiem,5,Action,2011
5,Aliens in the Attic,5,Action,2010
5,All About Steve,1,Comedy,2010
5,American Gangster,1,Comedy,2010
5,An Education,2,Drama,2009
5,Anonymous,1,Comedy,2011
5,Apollo 18,1,Horror,2007
5,Australia,3,Comedy,2009
6,"10,000 B.C.",3,Adventure,2009
6,12 Rounds,3,Adventure,2007
6,30 Days of Night,4,Comedy,2008
6,50/50,4,Comedy,2011
6,A Dangerous Method,5,Adventure,2010
6,A Serious Man,5,Adventure,2011
6,A Very Harold and Kumar Christmas,5,Thriller,2007
6,Across the Universe,1,Comedy,2009
6,Alice in Wonderland,2,Comedy,2007
6,Alien vs. Predator -- Requiem,2,Comedy,2010
6,All About Steve,3,Action,2011
6,American Gangster,4,Action,2010
6,Anonymous,4,Adventure,2009
6,Arthur,4,Action,2008
6,Australia,4,Action,2010
7,12 Rounds,2,Romance,2011
7,17 Again,1,Comedy,2011
7,88 Minutes,4,Romance,2011
7,A Serious Man,3,Action,2011
7,Abduction,3,Drama,2008
7,Albert Nobbs,4,Drama,2009
7,All About Steve,5,Comedy,2008
7,An Education,1,Comedy,2010
7,Armored,4,Action,2007
7,Avatar,3,Action,2010
8,(500) Days of Summer,3,Action,2010
8,127 Hours,2,Comedy,2008
8,30 Days of Night,3,Comedy,2008
8,88 Minutes,4,Adventure,2008
8,A Nightmare on Elm Street,1,Thriller,2007
8,Abduction,3,Horror,2008
8,Adventureland,4,Action,2011
8,Alice in Wonderland,2,Romance,2011
8,All About Steve,3,Thriller,2007
8,Amelia,4,Romance,2007
8,An Education,2,Comedy,2009
8,Appaloosa,1,Drama,2011
8,Arthur,3,Comedy,2010
9,(500) Days of Summer,3,Drama,2010
9,30 Days of Night,1,Drama,2008
9,50/50,1,Drama,2009
9,88 Minutes,1,Action,2009
9,A Dangerous Method,1,Drama,2007
9,Adventureland,3,Drama,2009
9,Alien vs. Predator -- Requiem,3,Romance,2011
9,All Good Things,3,Comedy,2010
9,American Gangster,3,Comedy,2008
9,An Education,4,Romance,2007
9,Arthur,5,Action,2007
9,Avatar,5,Action,2009
10,17 Again,4,Comedy,2009
10,30 Minutes or Less,4,Comedy,2010
10,A Dangerous Method,4,Drama,2007
10,A Serious Man,3,Action,2010
10,Across the Universe,1,Action,2009
10,Albert Nobbs,1,Horror,2008
10,Alice in Wonderland,3,Action,2009
10,All About Steve,4,Action,2011
10,American Gangster,5,Horror,2011
10,Apollo 18,4,Action,2010
10,Arthur,3,Comedy,2008
10,Avatar,4,Action,2010
